,Open,High,Low,Close,Adj Close,Volume,Year,Month
106,47.77,51.669998,36.82,37.032001,37.032001,1412994000,2019,5
107,37.102001,46.948002,35.397999,44.692001,44.692001,1074853000,2019,6
108,46.042,53.214001,44.444,48.321999,48.321999,996683500,2019,7
109,48.529999,48.902,42.200001,45.122002,45.122002,668953000,2019,8
110,44.816002,50.700001,43.672001,48.174,48.174,678876500,2019,9
111,48.299999,68.167999,44.855999,62.984001,62.984001,1139913000,2019,10
112,63.264,72.239998,61.852001,65.987999,65.987999,788854000,2019,11
113,65.879997,87.061996,65.449997,83.666,83.666,1035400000,2019,12
114,84.900002,130.600006,84.342003,130.113998,130.113998,2036092500,2020,1
115,134.738007,193.798004,122.304001,133.598007,133.598007,2362934000,2020,2
116,142.251999,161.395996,70.101997,104.800003,104.800003,2104675000,2020,3
117,100.800003,173.964005,89.279999,156.376007,156.376007,1907387500,2020,4
118,151.0,168.658005,136.608002,167.0,167.0,1363518000,2020,5
119,171.600006,217.537994,170.820007,215.962006,215.962006,1278863500,2020,6
120,216.600006,358.997986,216.100006,286.152008,286.152008,1893167500,2020,7
121,289.839996,500.140015,273.0,498.320007,498.320007,1557378400,2020,8
122,502.140015,502.48999,329.880005,429.01001,429.01001,1736284800,2020,9
123,440.76001,465.899994,379.109985,388.040009,388.040009,833666400,2020,10
124,394.0,607.799988,392.299988,567.599976,567.599976,782598800,2020,11
125,597.590027,718.719971,541.210022,705.669983,705.669983,1196346000,2020,12
126,719.460022,900.400024,717.190002,793.530029,793.530029,705694800,2021,1
127,814.289978,880.5,619.0,675.5,675.5,522857900,2021,2
128,690.109985,721.109985,539.48999,667.929993,667.929993,942452400,2021,3
129,688.369995,780.789978,659.419983,709.440002,709.440002,678539700,2021,4
130,703.799988,706.0,546.97998,625.219971,625.219971,625175800,2021,5
